Attacker,Bot,Attack Block,Attack Gas Price,Victim Sender,Victim Receiver,Victim Block,Victim Gas Price,Cost,Profit,Bot Cluster ID,Gas Price Delta,Block Delta
0x36451DC166Ee52Af314B64f760fD2e38E5906F50,0x9a6de75b5ED999fBDc3FF71FC56562742531b35a,10491197,77.000000002,0x4D953115678b15CE0B0396bCF95Db68003f86FB5,0x4efbCfaCba805254E59462af3b0F0c83dDd6Af3A,10491199,67.000000001,6.13078870282164,229.55035607360296,11,10.00000000099999,2
0x498B859D2e59958E209d7DD262324C8D31b12B12,0x40DDE6092a77eC2d00eB4fa14f0c5d92d835d673,10294451,35.000000001,0x5Cf1bF4c01Def49Ed397a73fd810043fA1B43059,0x755C1a8F71f4210CD7B60b9439451EfCbeBa33D1,10294451,35.0,2.52087605076414,114.94378116594672,7,9.999965300266922e-10,0
0x36451DC166Ee52Af314B64f760fD2e38E5906F50,0xe920B3F96Cb2bF1Ee9ee8921837de08273724242,10739608,63.000000001,0xF27696C8BCa7D54D696189085Ae1283f59342fA6,0x103675510a219bd84CE91d1bcb82Ca194D665a09,10739611,63.0,10.232358557867114,0.0593950839116853,11,9.999965300266922e-10,3
0x36451DC166Ee52Af314B64f760fD2e38E5906F50,0xe920B3F96Cb2bF1Ee9ee8921837de08273724242,10663928,113.000000001,0x0385b3F162a0e001b60Ecb84D3CB06199d78f666,0x103675510a219bd84CE91d1bcb82Ca194D665a09,10663928,113.0,11.468389674277747,297.95304889836103,11,1.0000036354540498e-09,0
0x498B859D2e59958E209d7DD262324C8D31b12B12,0x40DDE6092a77eC2d00eB4fa14f0c5d92d835d673,10271282,40.000000001,0x0385b3F162a0e001b60Ecb84D3CB06199d78f666,0x67933Cccf3f6b40148271f5E7b5408fD1D5B2837,10271282,40.0,3.1315692813518448,1282.8846862573632,7,9.999965300266922e-10,0
0x36451DC166Ee52Af314B64f760fD2e38E5906F50,0x9a6de75b5ED999fBDc3FF71FC56562742531b35a,10514917,73.000000001,0xF27696C8BCa7D54D696189085Ae1283f59342fA6,0x103675510a219bd84CE91d1bcb82Ca194D665a09,10514917,73.0,7.923446573694216,5.076238216674678,11,1.0000036354540498e-09,0
0x36451DC166Ee52Af314B64f760fD2e38E5906F50,0x9a6de75b5ED999fBDc3FF71FC56562742531b35a,10539326,81.000001461,0x4D953115678b15CE0B0396bCF95Db68003f86FB5,0x4efbCfaCba805254E59462af3b0F0c83dDd6Af3A,10539326,81.00000146,12.371971331305646,142.88702414456247,11,1.0000036354540498e-09,0
0x36451DC166Ee52Af314B64f760fD2e38E5906F50,0xe920B3F96Cb2bF1Ee9ee8921837de08273724242,10764058,173.000000001,0xF27696C8BCa7D54D696189085Ae1283f59342fA6,0x103675510a219bd84CE91d1bcb82Ca194D665a09,10764059,173.0,16.069646300329524,598.9838925241519,11,9.999894245993346e-10,1
0x498B859D2e59958E209d7DD262324C8D31b12B12,0x40DDE6092a77eC2d00eB4fa14f0c5d92d835d673,10271300,40.000000001,0x0385b3F162a0e001b60Ecb84D3CB06199d78f666,0x103675510a219bd84CE91d1bcb82Ca194D665a09,10271300,40.0,3.155876104496851,110.55960327689758,7,9.999965300266922e-10,0
0x36451DC166Ee52Af314B64f760fD2e38E5906F50,0x9a6de75b5ED999fBDc3FF71FC56562742531b35a,10514924,73.000000002,0x4D953115678b15CE0B0396bCF95Db68003f86FB5,0x0240539eC9ec47a9D0DD4C5bc37435093A3C19a2,10514924,73.000000001,1.5749349040703862,0.2671198963519101,11,9.999894245993346e-10,0
0x36451DC166Ee52Af314B64f760fD2e38E5906F50,0x9a6de75b5ED999fBDc3FF71FC56562742531b35a,10514931,73.000000002,0x4D953115678b15CE0B0396bCF95Db68003f86FB5,0x0240539eC9ec47a9D0DD4C5bc37435093A3C19a2,10514931,73.000000001,8.563741033121255,1329.7438160740828,11,9.999894245993346e-10,0
0x36451DC166Ee52Af314B64f760fD2e38E5906F50,0xe920B3F96Cb2bF1Ee9ee8921837de08273724242,10663971,126.250000001,0xdd5a1C148Ca114af2F4EBC639ce21fEd4730a608,0x67933Cccf3f6b40148271f5E7b5408fD1D5B2837,10663971,126.25,19.187240968680463,4349.327122113341,11,1.0000036354540498e-09,0
0x36451DC166Ee52Af314B64f760fD2e38E5906F50,0xe920B3F96Cb2bF1Ee9ee8921837de08273724242,10588972,52.000000001,0xdd5a1C148Ca114af2F4EBC639ce21fEd4730a608,0x103675510a219bd84CE91d1bcb82Ca194D665a09,10588972,52.0,2.514478494925345,0.8476378874427999,11,9.999965300266922e-10,0
0x36451DC166Ee52Af314B64f760fD2e38E5906F50,0x9a6de75b5ED999fBDc3FF71FC56562742531b35a,10514970,73.000000002,0x4D953115678b15CE0B0396bCF95Db68003f86FB5,0x0240539eC9ec47a9D0DD4C5bc37435093A3C19a2,10514970,73.000000001,1.789836162879966,0.2671198963489662,11,9.999894245993346e-10,0
0x36451DC166Ee52Af314B64f760fD2e38E5906F50,0xe920B3F96Cb2bF1Ee9ee8921837de08273724242,10688652,134.000000001,0xdd5a1C148Ca114af2F4EBC639ce21fEd4730a608,0x103675510a219bd84CE91d1bcb82Ca194D665a09,10688652,134.0,16.131226157620606,173.7753319160496,11,9.999894245993346e-10,0
0x498B859D2e59958E209d7DD262324C8D31b12B12,0x40DDE6092a77eC2d00eB4fa14f0c5d92d835d673,10271391,43.750000001,0x0385b3F162a0e001b60Ecb84D3CB06199d78f666,0x103675510a219bd84CE91d1bcb82Ca194D665a09,10271391,43.75,4.880821461020283,97.75933509410783,7,9.999965300266922e-10,0
0x498B859D2e59958E209d7DD262324C8D31b12B12,0x40DDE6092a77eC2d00eB4fa14f0c5d92d835d673,10271393,43.750000001,0xdd5a1C148Ca114af2F4EBC639ce21fEd4730a608,0x67933Cccf3f6b40148271f5E7b5408fD1D5B2837,10271393,43.75,4.610913768686671,8815.664864373537,7,9.999965300266922e-10,0
0x36451DC166Ee52Af314B64f760fD2e38E5906F50,0xe920B3F96Cb2bF1Ee9ee8921837de08273724242,10739722,71.000000001,0x0385b3F162a0e001b60Ecb84D3CB06199d78f666,0x103675510a219bd84CE91d1bcb82Ca194D665a09,10739724,71.0,6.519678222215345,1595.7688690014409,11,1.0000036354540498e-09,2
0x36451DC166Ee52Af314B64f760fD2e38E5906F50,0x9a6de75b5ED999fBDc3FF71FC56562742531b35a,10515034,73.000000001,0x0385b3F162a0e001b60Ecb84D3CB06199d78f666,0x103675510a219bd84CE91d1bcb82Ca194D665a09,10515034,73.0,10.925787177869571,1.5026336560675282,11,1.0000036354540498e-09,0
0x36451DC166Ee52Af314B64f760fD2e38E5906F50,0xD1Ae8512131aaB5bF6c5732924424EfB1f2EA32B,10465799,60.000000001,0x4D953115678b15CE0B0396bCF95Db68003f86FB5,0x0240539eC9ec47a9D0DD4C5bc37435093A3C19a2,10465799,50.000000001,1.0523302717219283,0.2309609463058496,11,10.0,0
0x36451DC166Ee52Af314B64f760fD2e38E5906F50,0xe920B3F96Cb2bF1Ee9ee8921837de08273724242,10637839,133.000000001,0xdd5a1C148Ca114af2F4EBC639ce21fEd4730a608,0x103675510a219bd84CE91d1bcb82Ca194D665a09,10637839,133.0,12.140404726907098,1718.0815092920798,11,9.999894245993346e-10,0
0x36451DC166Ee52Af314B64f760fD2e38E5906F50,0xe920B3F96Cb2bF1Ee9ee8921837de08273724242,10664077,115.000000001,0xF27696C8BCa7D54D696189085Ae1283f59342fA6,0x103675510a219bd84CE91d1bcb82Ca194D665a09,10664077,115.0,11.669149883800637,1989.8042494733609,11,1.0000036354540498e-09,0
0x36451DC166Ee52Af314B64f760fD2e38E5906F50,0xe920B3F96Cb2bF1Ee9ee8921837de08273724242,10714203,65.000000001,0xdd5a1C148Ca114af2F4EBC639ce21fEd4730a608,0x103675510a219bd84CE91d1bcb82Ca194D665a09,10714203,65.0,11.547471127397426,384.3353830788185,11,1.0000036354540498e-09,0
0x36451DC166Ee52Af314B64f760fD2e38E5906F50,0xe920B3F96Cb2bF1Ee9ee8921837de08273724242,10739789,82.500000001,0xdd5a1C148Ca114af2F4EBC639ce21fEd4730a608,0x103675510a219bd84CE91d1bcb82Ca194D665a09,10739792,82.5,86.6343071578655,50939.28617264297,11,1.0000036354540498e-09,3
0x36451DC166Ee52Af314B64f760fD2e38E5906F50,0xe920B3F96Cb2bF1Ee9ee8921837de08273724242,10589090,58.000000001,0xF27696C8BCa7D54D696189085Ae1283f59342fA6,0x103675510a219bd84CE91d1bcb82Ca194D665a09,10589090,58.0,4.934065091173355,33.81932120900355,11,9.999965300266922e-10,0
0x36451DC166Ee52Af314B64f760fD2e38E5906F50,0xe920B3F96Cb2bF1Ee9ee8921837de08273724242,10688732,128.000000001,0xdd5a1C148Ca114af2F4EBC639ce21fEd4730a608,0x103675510a219bd84CE91d1bcb82Ca194D665a09,10688732,128.0,24.48715659436312,2723.4271535611847,11,9.999894245993346e-10,0
0x36451DC166Ee52Af314B64f760fD2e38E5906F50,0xe920B3F96Cb2bF1Ee9ee8921837de08273724242,10637861,133.000000001,0xF27696C8BCa7D54D696189085Ae1283f59342fA6,0x103675510a219bd84CE91d1bcb82Ca194D665a09,10637861,133.0,11.595169573132317,4146.980093750809,11,9.999894245993346e-10,0
0x498B859D2e59958E209d7DD262324C8D31b12B12,0x40DDE6092a77eC2d00eB4fa14f0c5d92d835d673,10170628,21.000000001,0xdd5a1C148Ca114af2F4EBC639ce21fEd4730a608,0x103675510a219bd84CE91d1bcb82Ca194D665a09,10170629,21.0,1.2966832581716383,605.4777424113953,7,1.000000082740371e-09,1
0x36451DC166Ee52Af314B64f760fD2e38E5906F50,0xe920B3F96Cb2bF1Ee9ee8921837de08273724242,10739805,75.000000001,0x0385b3F162a0e001b60Ecb84D3CB06199d78f666,0x103675510a219bd84CE91d1bcb82Ca194D665a09,10739805,75.0,6.832882249438068,4815.848672859593,11,1.0000036354540498e-09,0
0x36451DC166Ee52Af314B64f760fD2e38E5906F50,0xe920B3F96Cb2bF1Ee9ee8921837de08273724242,10589118,63.750000001,0xF27696C8BCa7D54D696189085Ae1283f59342fA6,0x103675510a219bd84CE91d1bcb82Ca194D665a09,10589118,63.75,10.633893972553329,63.512566494548935,11,9.999965300266922e-10,0
0x36451DC166Ee52Af314B64f760fD2e38E5906F50,0xe920B3F96Cb2bF1Ee9ee8921837de08273724242,10688758,128.000000001,0xF27696C8BCa7D54D696189085Ae1283f59342fA6,0x103675510a219bd84CE91d1bcb82Ca194D665a09,10688758,128.0,36.000497135787256,0.6332815460199639,11,9.999894245993346e-10,0
0x498B859D2e59958E209d7DD262324C8D31b12B12,0x40DDE6092a77eC2d00eB4fa14f0c5d92d835d673,10220351,31.000000001,0x0385b3F162a0e001b60Ecb84D3CB06199d78f666,0x103675510a219bd84CE91d1bcb82Ca194D665a09,10220351,31.0,1.5666327005279594,126.86740363595952,7,1.000000082740371e-09,0
