Cluster ID,Attacks,Cost,Profit,Attacker Accounts,Bot Contracts,Unique Bot Count
1,1,45.99602107547236,-45.99602107547236,6,1,1
2,12,25054.399569613226,115241.4470791856,12,8,7
3,18,14836.387334096393,124243.35213288218,20,14,14
4,16,55953.37102912115,19274.30587575456,18,5,5
5,3,21592.427474691445,777548.671786634,42,2,1
