Attacker Hash,First Attacks,Second Attacks,Both Attacks,Attacks,Exchange Attacks,Bot Attacks,Profit,Exchange Count,Neighbors,Bot Cluster ID
0xa7Ddc3B48887835a3b58FEA0cE7375aB5AF6DbF6,1,0,0,1,0,1,6.293167863625089,1,1,1
0xa4f9E49540cf75524E41Dca4e16eB14558A16F1A,0,1,0,1,0,1,6.293167863625089,1,1,1
0x76C6430BD401F0C15E073b2CD5D3b510ea720A95,2855,2855,2849,2861,0,2861,128455.89470786825,2,5,1
0x6637c3700A574887c3CdDE9e56D88B5AaF47ecee,1,0,0,1,0,1,15.159071023059145,1,1,1
0x5aB9d116a53EF41063E3EaE26A7eBe736720E9bA,3,0,0,3,0,3,-63.147963933470514,1,3,1
0xE5660812312076059BC1E4B582C4485979ef6570,0,1,0,1,0,1,-58.94525980608753,1,1,1
0xC9Fe8cCb4f7e28A39A3f4aA44FdF141469e3F77E,1,0,0,1,0,1,-4.526065594328747,1,1,1
0xC533a4e3350deecaA0bf0fcba92D4a6138013b18,0,1,0,1,0,1,-4.526065594328747,1,1,1
0x037a5800D8eADEe1E940105A61744C35e5cf54a3,1,0,0,1,0,1,8.482284519701214,1,1,1
0x9580cb57DAd32e24b8F0Cd317e266E2d15e2D560,1,0,0,1,0,1,-7.255657043945615,1,1,1
0x0D83E10F19BFD86494a817c01A31d522fB421549,0,1,0,1,0,1,-7.255657043945615,1,1,1
0x273d5b1684D0d7Ec49Ab8Fe0b855a420B7d31cA0,1,0,0,1,0,1,1.6169254882779187,1,1,1
0x0f8aA39A58ADcc3Df98d826Ac798aB837CC0833C,0,1,0,1,0,1,1.6169254882779187,1,1,1
0xEB9B5Bcc189b78bD9BB80a3e0Db733A81dEA36C3,1,0,0,1,0,1,-1.474994738725311,1,1,1
0x9082Fa443A67fFFCc715B305492B89736092AE62,1,0,0,1,0,1,-1.710588995014514,1,1,1
0x1D8120D41Be8284Ffd2882F1692c7Bd4eF07F102,1,0,0,1,0,1,-88.03472256592302,1,1,1
0xc23eEf94E75020cf79013c9fBDC2BFe65DE14Dbd,0,1,0,1,0,1,-88.03472256592302,1,1,1
0x00d1Ce825DacBCb6789e2D5fB1873A7178312abC,0,1,0,1,0,1,-1.2754251897590099,1,1,1
0x44dba507b909A6F92F3a708A844d4C4F23622BEE,57,63,57,63,0,63,452.4239124685531,2,2,1
0xe1Caca299FB4eF116096a053f3a9e1Bc773c75ef,2,0,0,2,0,2,2.4378211938869767,1,2,1
0x990576e8AA202A7be9D3175796A75FF2Ff426797,0,1,0,1,0,1,1.0305540948717746,1,1,1
0x8D6A15760a5e8E913Ebc7BEa3A5A4eA14D336453,1,0,0,1,0,1,-1.8887125209673956,1,1,1
0xd6b834eBB841a9ccaB4c6A8cf28B36E60210be1C,1,0,0,1,0,1,-0.8560050116468569,1,1,1
0x4c39ADA0340c1Eb3CeE343F44819323dD29081A9,0,1,0,1,0,1,-0.8560050116468569,1,1,1
0x56d16b9a5d44CeF755f63359000CE32c6b6d0DBF,3,0,0,3,0,3,-3.6985366064838683,1,3,1
0x00e541A6E7D9AB69E9343c9BA357D5f6e367dFc2,1,1,0,2,0,2,-0.8786404143052456,1,2,1
0x69f8A55D4bE90860691A36E43BD4Ea5c2486489F,0,1,0,1,0,1,-6.162379682356817,1,1,1
0x022461be2e2412baD4FC28BdC4da668Fae85Ec0c,0,1,0,1,0,1,0.5256364906216012,1,1,1
0x8Ebd10FE696288c6ED1E024064FDF54541Aa63e0,1,0,0,1,0,1,0.23967952640668888,1,1,1
0x9D22a13c36E10B9630dDa6A3A3C0aF2076AB88D5,0,1,0,1,0,1,0.23967952640668888,1,1,1
0xe47bCDf766Efb66C6B5461C71db206918095BC62,1,0,0,1,0,1,-2.1766332620628344,1,1,1
0xc892A4Dc36ffD6244d29f0cEC1dD222eB92CFB71,0,1,0,1,0,1,-2.1766332620628344,1,1,1
0x1adF316FDfaB50F9e30bA6FF9858ca8e0d2670a9,1,0,0,1,0,1,-4.60313402868572,1,1,1
0xEF50EeD70D0Ff96354368749877BF51BFF73E4eb,0,1,0,1,0,1,-1.3219532193476466,1,1,1
0x005FdE5294199d5C3Eb5Eb7a6E51954123b74b1c,1,0,0,1,0,1,-2.0710848932283725,1,1,1
0xDEAD3b4bdB1C7160196C41fD1baB168f71486123,0,1,0,1,0,1,-2.0710848932283725,1,1,1
0x2D64fc5E3D0B3e9ab8269dF36152842b70C45Ef8,1,0,0,1,0,1,-1.2741905760011623,1,1,1
0x21B2BBE09B269D69b150A9B40C19FA6B2821C0eF,1,0,0,1,0,1,-2.551915855304199,1,1,1
